train_id,ts,filter,temp_c,position,hfr,exposure_s
123e4567-e89b-12d3-a456-426614174000,2024-01-15T20:00:00Z,L,15.0,15000,2.8,5.0
123e4567-e89b-12d3-a456-426614174000,2024-01-15T20:05:00Z,L,15.0,15200,2.5,5.0
123e4567-e89b-12d3-a456-426614174000,2024-01-15T20:10:00Z,L,15.0,15400,2.3,5.0
123e4567-e89b-12d3-a456-426614174000,2024-01-15T20:15:00Z,L,15.0,15600,2.4,5.0
123e4567-e89b-12d3-a456-426614174000,2024-01-15T20:20:00Z,L,15.0,15800,2.6,5.0
123e4567-e89b-12d3-a456-426614174000,2024-01-15T20:25:00Z,L,15.0,16000,2.9,5.0
123e4567-e89b-12d3-a456-426614174000,2024-01-15T20:30:00Z,L,15.0,16200,3.2,5.0
123e4567-e89b-12d3-a456-426614174000,2024-01-15T20:35:00Z,L,15.0,16400,3.5,5.0
123e4567-e89b-12d3-a456-426614174000,2024-01-15T21:00:00Z,R,14.5,14800,2.9,5.0
123e4567-e89b-12d3-a456-426614174000,2024-01-15T21:05:00Z,R,14.5,15000,2.6,5.0
123e4567-e89b-12d3-a456-426614174000,2024-01-15T21:10:00Z,R,14.5,15200,2.4,5.0
123e4567-e89b-12d3-a456-426614174000,2024-01-15T21:15:00Z,R,14.5,15400,2.5,5.0
123e4567-e89b-12d3-a456-426614174000,2024-01-15T21:20:00Z,R,14.5,15600,2.7,5.0
123e4567-e89b-12d3-a456-426614174000,2024-01-15T21:25:00Z,R,14.5,15800,3.0,5.0
123e4567-e89b-12d3-a456-426614174000,2024-01-15T21:30:00Z,R,14.5,16000,3.3,5.0
123e4567-e89b-12d3-a456-426614174000,2024-01-15T21:35:00Z,R,14.5,16200,3.6,5.0
